produto,valor,unidade
Soja,341.747.600,Mil Reais
Milho em grão,116.396.867,Mil Reais
Cana-de-açúcar,75.284.266,Mil Reais
Café,34.896.546,Mil Reais
Algodão herbáceo,26.507.341,Mil Reais
Arroz,19.146.736,Mil Reais
Mandioca,12.702.124,Mil Reais
Laranja,12.534.709,Mil Reais
Trigo,10.998.648,Mil Reais
Banana,9.998.070,Mil Reais
Fumo,6.800.830,Mil Reais
Tomate,6.478.833,Mil Reais
Batata,5.483.747,Mil Reais
Açaí (cultivo),5.305.523,Mil Reais
Uva,4.266.432,Mil Reais
Cacau,3.973.400,Mil Reais
Amendoim,2.643.649,Mil Reais
Sorgo,2.640.770,Mil Reais
Abacaxi,2.610.025,Mil Reais
Cebola,2.490.452,Mil Reais
Maçã,2.340.323,Mil Reais
Manga,1.953.638,Mil Reais
Alho,1.849.020,Mil Reais
Melancia,1.844.638,Mil Reais
Pimenta-do-reino,1.799.681,Mil Reais
Maracujá,1.533.905,Mil Reais
Borracha,1.495.091,Mil Reais
Limão,1.495.043,Mil Reais
Mamão,1.407.631,Mil Reais
Tangerina,1.358.733,Mil Reais
Coco-da-baía,1.299.188,Mil Reais
Aveia branca,1.037.930,Mil Reais
Dendê,1.025.826,Mil Reais
Goiaba,973.137,Mil Reais
Erva-mate (cultivo),723.760,Mil Reais
Feijão,722.322,Mil Reais
Cevada,722.322,Mil Reais
Abacate,710.363,Mil Reais
Melão,628.322,Mil Reais
Pêssego,515.664,Mil Reais
Castanha-de-caju (cultivo),476.952,Mil Reais
Sisal (fibra),415.379,Mil Reais
Caqui,383.048,Mil Reais
Palmito (cultivo),316.553,Mil Reais
Girassol (em grão),139.769,Mil Reais
Figo,137.512,Mil Reais
Triticale,112.629,Mil Reais
Mamona,104.710,Mil Reais
Noz,74.124,Mil Reais
Urucum (cultivo),69.551,Mil Reais
Fava,61.642,Mil Reais
Guaraná,39.857,Mil Reais
Pera,39.834,Mil Reais
Ervilha em grão,14.908,Mil Reais
Linho (semente),12.862,Mil Reais
Azeitona,12.519,Mil Reais
Centeio,10.951,Mil Reais
Malva,7.859,Mil Reais
Chá-da-Índia,1.749,Mil Reais
Marmelo,1.560,Mil Reais
Juta,73,Mil Reais